N,Taxa,ESGs,ESGg
1,Acanthophora najadiformis,IIA,IIA
2,Acetabularia acetabulum,IC,IC
3,Acrochaetium spp.,IIB,IIB
4,Aglaothamnion brodiaei,IIB,IIB
5,Aglaozonia parvula,IB,IB
6,Alsidium helminthochorton,IIA,IIA
7,Amphiroa rigida,IC,IC
8,Anadyomene stellata,IC,IC
9,Anotrichium tenue,IIB,IIB
10,Antithamnion spp.,IIB,IIB
11,Antithamnionella spirographidis,IIB,IIB
12,Asperococcus bullosus,IB,IB
13,Auduniella daviessi,IIB,IIB
14,Bangia atropurpurea,IIB,IIB
15,Blastophysa rhizopus,IIB,IIB
16,Bryopsis spp.,IIB,IIB
17,Callithamnion spp.,IIB,IIB
18,Caulerpa racemosa,IIA,IIA
19,Ceramium spp.,IIB,IIB
20,Chaetomorpha spp,IIB,IIB
21,Champia parvula,IIA,IIA
22,Chondria spp.,IIA,IIA
23,Chylocladia verticillata,IIA,IIA
24,Cladophora spp.,IIB,IIB
25,Codium spp.,IIB,IIB
26,Colpomenia spp.,IIA,IIA
27,Corallina elongata,IC,IC
28,Corallina granifera,IC,IC
29,Corallina officinalis,IC,IC
30,Corynophlaceae spp.,IIB,IIB
31,Crouania attenuata,IIB,IIB
32,Culteria multifida,IB,IB
33,Cyanophyceae,IIB,IIB
34,Cystoseira barbata,IB,IB
35,Cystoseira compressa,IB,IB
36,Cystoseira crinitophylla,IA,IB
37,Dasya spp.,IIA,IIA
38,Dasycladus vermicularis,IIA,IIA
39,Derbesia,IIB,IIB
40,Dermatolithon spp,IC,IC
41,Dictyopteris polypodioides,IIA,IIA
42,Dictyota spp.,IIA,IIA
43,Dipterosiphonia rigens,IIB,IIB
44,Ectocarpus spp.,IIB,IIB
45,Entocladia viridis,IIB,IIB
46,Erythrotrichia spp.,IIB,IIB
47,Falkenbergia rufolanosa,IIB,IIB
48,Feldmannia spp.,IIB,IIB
49,Flabellia petiolata,IC,IC
50,Gelidiella spp.,IIA,IIA
51,Gelidium spp.,IIA,IIA
52,Gigartina acicularis,IIA,IIA
53,Gigartina tedii,IIA,IIA
54,Gonyotrichum spp.,IIB,IIB
55,Gracilaria bursa-pastoris,IIA,IIA
56,Gracilaria corallicola,IIA,IIA
57,Griffithsia schousboei,IIB,IIB
58,Gymnogongrus griffithsiae,IIA,IIA
59,Halimeda tuna,IC,IC
60,Halopteris filicina,IIA,IIA
61,Heropsiphonia spp.,IIB,IIB
62,Heterosiphonia crispella,IIB,IIB
63,Hincksia mitchelliae,IIB,IIB
64,Hincksia spp.,IIB,IIB
65,Hydrolithon spp.,IC,IC
66,Hypnea musciformis,IIA,IIA
67,Jania spp.,IC,IC
68,Laurencia spp.,IIA,IIA
69,Lithophyllum spp.,IC,IC
70,Lithothamnion spp.,IC,IC
71,Lomentaria clavellosa,IIA,IIA
72,Lophosiphonia spp.,IIA,IIA
73,Mesogloia lanosa,IIA,IIA
74,Mesophyllum lichenoides,IC,IC
75,Monosporus pedicellatus,IIB,IIB
76,Myriactula sp.,IIB,IIB
77,Myrionema orbiculare,IIB,IIB
78,Nitophyllum punctatum,IIA,IIA
79,Padina pavonica,IB,IB
80,Petalonia fascia,IIB,IIB
81,Peyssonnelia spp.,IC,IC
82,Phaeophila dendroides,IIB,IIB
83,Plocamium cartilagineum,IIA,IIA
84,Pneophyllum lejolisii,IC,IC
85,Polysiphonia spp.,IIB,IIB
86,Porphyra sp.,IIB,IIB
87,Pringsheimiella scutata,IIB,IIB
88,Pseudochlorodesmis furcellata,IIB,IIB
89,Pseudolithoderma adriaticum,IC,IC
90,Pterocladia capillacea,IIA,IIA
91,Pterosiphonia complanata,IIB,IIB
92,Ralfsia verrucosa,IC,IC
93,Rhizoclonium tortuosum,IIB,IIB
94,Sargassum vulgare,IB,IB
95,Schizymenia dubyi,IIA,IIA
96,Scytosiphon lomentaria,IIB,IIB
97,Spermothamnion spp.,IIB,IIB
98,Sphacelaria spp.,IIA,IIA
99,Sphondylothamnion multifidum,IIB,IIB
100,Spyridia filamentosa,IIA,IIA
101,Stilophora rhizoides,IIB,IIB
102,Stylonema spp.,IIB,IIB
103,Stypocaulon scoparium,IIA,IIA
104,Taonia atomaria,IB,IB
105,Titanoderma spp.,IC,IC
106,Ulothrix flacca,IIB,IIB
107,Ulva spp.,IIB,IIB
108,Valonia utricularis,IIB,IIB
109,Wrangelia penicillata,IIB,IIB
